"EKATTE","Suffix_bg","Name_bg","Descr_bg","Longitude","Latitude","Suffix_en","Name_en","Descr_en","District_c","Mun_code","Mun_name"
"00151","гр.","Айтос","град",27.24897,42.69896,"t.","Aytos","town","BGS","BGS01","Айтос"
"00182","гр.","Аксаково","град",27.81592,43.26077,"t.","Aksakovo","town","VAR","VAR02","Аксаково"
"00415","гр.","Алфатар","град",27.29111,43.94666,"t.","Alfatar","town","SLS","SLS01","Алфатар"
"00518","гр.","Антоново","град",26.15982,43.15004,"t.","Antonovo","town","TGV","TGV02","Антоново"
"52218","гр.","Априлци","град",24.91996,42.83988,"t.","Apriltsi","town","LOV","LOV02","Априлци"
"00607","гр.","Ардино","град",25.13322,41.58287,"t.","Ardino","town","KRZ","KRZ02","Ардино"
"00702","гр.","Асеновград","град",24.87729,42.00819,"t.","Asenovgrad","town","PDV","PDV01","Асеновград"
"00878","гр.","Ахтопол","град",27.94161,42.09966,"t.","Ahtopol","town","BGS","BGS13","Царево"
"02508","гр.","Балчик","град",28.16615,43.41017,"t.","Balchik","town","DOB","DOB03","Балчик"
"02659","гр.","Банкя","град",23.14724,42.70694,"t.","Bankya","town","SOF","SOF46","Столична"
"02676","гр.","Банско","град",23.48880,41.83847,"t.","Bansko","town","BLG","BLG01","Банско"
"02720","гр.","Баня","град",24.83036,42.54533,"t.","Banya","town","PDV","PDV13","Карлово"
"02837","гр.","Батак","град",24.21779,41.94399,"t.","Batak","town","PAZ","PAZ03","Батак"
"72223","гр.","Батановци","град",22.95525,42.60063,"t.","Batanovtsi","town","PER","PER32","Перник"
"03366","гр.","Белене","град",25.12536,43.64404,"t.","Belene","town","PVN","PVN03","Белене"
"03504","гр.","Белица","град",23.56288,41.94785,"t.","Belitsa","town","BLG","BLG02","Белица"
"03592","гр.","Белово","град",24.02012,42.21461,"t.","Belovo","town","PAZ","PAZ04","Белово"
"03616","гр.","Белоградчик","град",22.68659,43.62510,"t.","Belogradchik","town","VID","VID01","Белоградчик"
"03719","гр.","Белослав","град",27.70673,43.19370,"t.","Beloslav","town","VAR","VAR04","Белослав"
"03928","гр.","Берковица","град",23.12509,43.23715,"t.","Berkovitsa","town","MON","MON02","Берковица"
"04279","гр.","Благоевград","град",23.10148,42.02004,"t.","Blagoevgrad","town","BLG","BLG03","Благоевград"
"04501","гр.","Бобов дол","град",22.99794,42.36378,"t.","Bobov dol","town","KNL","KNL04","Бобов дол"
"04532","гр.","Бобошево","град",23.00202,42.15046,"t.","Boboshevo","town","KNL","KNL05","Бобошево"
"05027","гр.","Божурище","град",23.19885,42.76272,"t.","Bozhurishte","town","SFO","SFO06","Божурище"
"05236","гр.","Бойчиновци","град",23.33627,43.47412,"t.","Boychinovtsi","town","MON","MON04","Бойчиновци"
"05284","гр.","Болярово","град",26.81152,42.15044,"t.","Bolyarovo","town","JAM","JAM03","Болярово"
"05611","гр.","Борово","град",25.81147,43.49068,"t.","Borovo","town","RSE","RSE03","Борово"
"05815","гр.","Ботевград","град",23.79366,42.90728,"t.","Botevgrad","town","SFO","SFO07","Ботевград"
"06207","гр.","Брацигово","град",24.36960,42.02313,"t.","Bratsigovo","town","PAZ","PAZ06","Брацигово"
"06224","гр.","Брегово","град",22.63928,44.15128,"t.","Bregovo","town","VID","VID06","Брегово"
"06286","гр.","Брезник","град",22.91067,42.73873,"t.","Breznik","town","PER","PER08","Брезник"
"06361","гр.","Брезово","град",25.07677,42.34877,"t.","Brezovo","town","PDV","PDV07","Брезово"
"06570","гр.","Брусарци","град",23.06627,43.66253,"t.","Brusartsi","town","MON","MON07","Брусарци"
"07079","гр.","Бургас","град",27.47018,42.50296,"t.","Burgas","town","BGS","BGS04","Бургас"
